userID,domain,decision_time,expertiseLevel
6116ee8fcd5414630d3527e8,text,202.988,E
6116ee8fcd5414630d3527e8,text,100.5775,E
6116ee8fcd5414630d3527e8,text,146.035,E
6116ee8fcd5414630d3527e8,text,138.61775,E
6116ee8fcd5414630d3527e8,text,25.49825,E
6116ee8fcd5414630d3527e8,text,29.334,E
6116ee8fcd5414630d3527e8,text,4.735,E
6116ee8fcd5414630d3527e8,text,37.038,E
6116ee8fcd5414630d3527e8,text,5.757,E
6116ee8fcd5414630d3527e8,text,12.37325,E
6116ee8fcd5414630d3527e8,text,17.4495,E
6116ee8fcd5414630d3527e8,text,12.926,E
6116ee8fcd5414630d3527e8,text,3.49375,E
6116ee8fcd5414630d3527e8,text,2.97925,E
6116ee8fcd5414630d3527e8,text,2.849,E
6116ee8fcd5414630d3527e8,text,2.317,E
6116ee8fcd5414630d3527e8,text,2.73125,E
611f5fca1c852d6d56e5bf8d,text,97.83675,E
611f5fca1c852d6d56e5bf8d,text,14.8105,E
611f5fca1c852d6d56e5bf8d,text,17.6495,E
611f5fca1c852d6d56e5bf8d,text,23.95975,E
611f5fca1c852d6d56e5bf8d,text,27.7185,E
611f5fca1c852d6d56e5bf8d,text,17.4625,E
611f5fca1c852d6d56e5bf8d,text,129.729,E
611f5fca1c852d6d56e5bf8d,text,45.77525,E
611f5fca1c852d6d56e5bf8d,text,19.4425,E
611f5fca1c852d6d56e5bf8d,text,18.4965,E
611f5fca1c852d6d56e5bf8d,text,10.1735,E
611f5fca1c852d6d56e5bf8d,text,35.81575,E
611f5fca1c852d6d56e5bf8d,text,10.77075,E
611f5fca1c852d6d56e5bf8d,text,9.35625,E
611f5fca1c852d6d56e5bf8d,text,7.714,E
611f5fca1c852d6d56e5bf8d,text,7.4975,E
611f5fca1c852d6d56e5bf8d,text,17.49625,E
611f5fca1c852d6d56e5bf8d,text,5.93675,E
611f5fca1c852d6d56e5bf8d,text,10.18,E
61687f084dd0608f43a02d0e,text,129.556,N
61687f084dd0608f43a02d0e,text,54.68525,N
61687f084dd0608f43a02d0e,text,66.3545,N
61687f084dd0608f43a02d0e,text,4.771,N
61687f084dd0608f43a02d0e,text,12.7545,N
61687f084dd0608f43a02d0e,text,8.77275,N
61687f084dd0608f43a02d0e,text,11.49475,N
61687f084dd0608f43a02d0e,text,8.3125,N
61687f084dd0608f43a02d0e,text,47.46075,N
61687f084dd0608f43a02d0e,text,16.47425,N
61687f084dd0608f43a02d0e,text,16.5295,N
61687f084dd0608f43a02d0e,text,11.25575,N
61687f084dd0608f43a02d0e,text,17.6135,N
61687f084dd0608f43a02d0e,text,22.398,N
61687f084dd0608f43a02d0e,text,32.70675,N
61687f084dd0608f43a02d0e,text,21.65875,N
61687f084dd0608f43a02d0e,text,14.259,N
61687f084dd0608f43a02d0e,text,16.11,N
61687f084dd0608f43a02d0e,text,14.86,N
61687f084dd0608f43a02d0e,text,6.3635,N
5d8c9182bc22d700191aef2b,text,75.248,E
5d8c9182bc22d700191aef2b,text,19.25025,E
5d8c9182bc22d700191aef2b,text,19.061,E
5d8c9182bc22d700191aef2b,text,28.7445,E
5d8c9182bc22d700191aef2b,text,23.3115,E
5d8c9182bc22d700191aef2b,text,31.72625,E
5d8c9182bc22d700191aef2b,text,20.414,E
5d8c9182bc22d700191aef2b,text,82.9055,E
5d8c9182bc22d700191aef2b,text,25.249,E
5d8c9182bc22d700191aef2b,text,26.00875,E
5d8c9182bc22d700191aef2b,text,30.39125,E
5d8c9182bc22d700191aef2b,text,27.18125,E
5d8c9182bc22d700191aef2b,text,11.81775,E
5d8c9182bc22d700191aef2b,text,14.625,E
5d8c9182bc22d700191aef2b,text,37.36,E
5d8c9182bc22d700191aef2b,text,15.045,E
5d8c9182bc22d700191aef2b,text,14.87675,E
5d8c9182bc22d700191aef2b,text,13.18425,E
5d8c9182bc22d700191aef2b,text,10.256,E
5d8c9182bc22d700191aef2b,text,9.13775,E
611e182dfe4a100e7d271c7e,text,63.36125,N
611e182dfe4a100e7d271c7e,text,67.395,N
611e182dfe4a100e7d271c7e,text,13.43675,N
611e182dfe4a100e7d271c7e,text,38.58475,N
611e182dfe4a100e7d271c7e,text,24.6155,N
611e182dfe4a100e7d271c7e,text,40.631,N
611e182dfe4a100e7d271c7e,text,85.846,N
611e182dfe4a100e7d271c7e,text,11.522,N
611e182dfe4a100e7d271c7e,text,9.654,N
611e182dfe4a100e7d271c7e,text,19.10225,N
611e182dfe4a100e7d271c7e,text,8.08275,N
611e182dfe4a100e7d271c7e,text,13.56525,N
611e182dfe4a100e7d271c7e,text,28.1295,N
611e182dfe4a100e7d271c7e,text,14.40875,N
611e182dfe4a100e7d271c7e,text,11.42225,N
611e182dfe4a100e7d271c7e,text,17.55425,N
611e182dfe4a100e7d271c7e,text,7.43325,N
611e182dfe4a100e7d271c7e,text,6.48,N
611e182dfe4a100e7d271c7e,text,3.931,N
611e182dfe4a100e7d271c7e,text,3.7965,N
5eceef5fa487421604c337ba,text,89.3615,E
5eceef5fa487421604c337ba,text,23.84275,E
5eceef5fa487421604c337ba,text,12.6575,E
5eceef5fa487421604c337ba,text,10.61675,E
5eceef5fa487421604c337ba,text,11.43075,E
5eceef5fa487421604c337ba,text,56.975,E
5eceef5fa487421604c337ba,text,47.28275,E
5eceef5fa487421604c337ba,text,62.64325,E
5eceef5fa487421604c337ba,text,19.387,E
5eceef5fa487421604c337ba,text,8.428,E
5eceef5fa487421604c337ba,text,14.72775,E
5eceef5fa487421604c337ba,text,4.17425,E
5eceef5fa487421604c337ba,text,2.613,E
5eceef5fa487421604c337ba,text,2.09875,E
5eceef5fa487421604c337ba,text,9.8865,E
5eceef5fa487421604c337ba,text,3.60075,E
5eceef5fa487421604c337ba,text,4.02775,E
5eceef5fa487421604c337ba,text,2.0235,E
5eceef5fa487421604c337ba,text,2.914,E
5eceef5fa487421604c337ba,text,6.4445,E
61227cb134d2ee7a4a125ef7,text,55.374,N
61227cb134d2ee7a4a125ef7,text,24.78125,N
61227cb134d2ee7a4a125ef7,text,4.6025,N
61227cb134d2ee7a4a125ef7,text,6.65325,N
61227cb134d2ee7a4a125ef7,text,3.7695,N
61227cb134d2ee7a4a125ef7,text,12.5455,N
61227cb134d2ee7a4a125ef7,text,11.7185,N
61227cb134d2ee7a4a125ef7,text,4.4785,N
61227cb134d2ee7a4a125ef7,text,4.6715,N
61227cb134d2ee7a4a125ef7,text,3.6355,N
61227cb134d2ee7a4a125ef7,text,11.50025,N
61227cb134d2ee7a4a125ef7,text,5.2175,N
61227cb134d2ee7a4a125ef7,text,16.116,N
61227cb134d2ee7a4a125ef7,text,8.43375,N
61227cb134d2ee7a4a125ef7,text,5.266,N
61227cb134d2ee7a4a125ef7,text,6.40675,N
61227cb134d2ee7a4a125ef7,text,3.24225,N
61227cb134d2ee7a4a125ef7,text,4.32675,N
61227cb134d2ee7a4a125ef7,text,4.99375,N
61227cb134d2ee7a4a125ef7,text,3.2075,N
61227cb134d2ee7a4a125ef7,text,7.16125,N
61227cb134d2ee7a4a125ef7,text,6.90575,N
61227cb134d2ee7a4a125ef7,text,5.31425,N
61227cb134d2ee7a4a125ef7,text,2.669,N
61227cb134d2ee7a4a125ef7,text,3.842,N
61227cb134d2ee7a4a125ef7,text,5.22075,N
61227cb134d2ee7a4a125ef7,text,7.12175,N
5aad8904e1546900019aef8e,text,402.863,N
5aad8904e1546900019aef8e,text,22.49,N
5aad8904e1546900019aef8e,text,13.3945,N
5aad8904e1546900019aef8e,text,11.41175,N
5aad8904e1546900019aef8e,text,86.2555,N
5aad8904e1546900019aef8e,text,16.683,N
5aad8904e1546900019aef8e,text,7.44825,N
5aad8904e1546900019aef8e,text,5.36925,N
5aad8904e1546900019aef8e,text,2.79225,N
5aad8904e1546900019aef8e,text,5.79025,N
5aad8904e1546900019aef8e,text,2.42175,N
5aad8904e1546900019aef8e,text,56.76275,N
5aad8904e1546900019aef8e,text,3.979,N
5aad8904e1546900019aef8e,text,3.74275,N
5aad8904e1546900019aef8e,text,4.39425,N
5aad8904e1546900019aef8e,text,11.06725,N
5aad8904e1546900019aef8e,text,13.64225,N
5aad8904e1546900019aef8e,text,3.818,N
5aad8904e1546900019aef8e,text,1.6165,N
602fd43a4bcf02d4aac8ef3c,text,121.3825,I
602fd43a4bcf02d4aac8ef3c,text,55.97275,I
602fd43a4bcf02d4aac8ef3c,text,17.1155,I
602fd43a4bcf02d4aac8ef3c,text,17.30975,I
602fd43a4bcf02d4aac8ef3c,text,21.9275,I
602fd43a4bcf02d4aac8ef3c,text,14.0,I
602fd43a4bcf02d4aac8ef3c,text,49.71725,I
602fd43a4bcf02d4aac8ef3c,text,26.35575,I
602fd43a4bcf02d4aac8ef3c,text,19.58525,I
602fd43a4bcf02d4aac8ef3c,text,19.8185,I
602fd43a4bcf02d4aac8ef3c,text,19.764,I
602fd43a4bcf02d4aac8ef3c,text,22.00275,I
602fd43a4bcf02d4aac8ef3c,text,102.96625,I
602fd43a4bcf02d4aac8ef3c,text,10.349,I
602fd43a4bcf02d4aac8ef3c,text,11.143,I
602fd43a4bcf02d4aac8ef3c,text,9.896,I
602fd43a4bcf02d4aac8ef3c,text,10.74,I
602fd43a4bcf02d4aac8ef3c,text,12.817,I
5fa507fa0776431b370bc0c7,text,147.20175,E
5fa507fa0776431b370bc0c7,text,35.96325,E
5fa507fa0776431b370bc0c7,text,20.23475,E
5fa507fa0776431b370bc0c7,text,21.836,E
5fa507fa0776431b370bc0c7,text,20.3095,E
5fa507fa0776431b370bc0c7,text,17.82825,E
5fa507fa0776431b370bc0c7,text,13.6025,E
5fa507fa0776431b370bc0c7,text,14.19575,E
5fa507fa0776431b370bc0c7,text,7.5705,E
5fa507fa0776431b370bc0c7,text,3.96175,E
5fa507fa0776431b370bc0c7,text,9.211,E
5fa507fa0776431b370bc0c7,text,3.363,E
5fa507fa0776431b370bc0c7,text,29.25975,E
5fa507fa0776431b370bc0c7,text,4.31825,E
5fa507fa0776431b370bc0c7,text,6.9305,E
5fa507fa0776431b370bc0c7,text,2.61975,E
5fa507fa0776431b370bc0c7,text,3.5425,E
5fa507fa0776431b370bc0c7,text,3.1615,E
5fa507fa0776431b370bc0c7,text,7.69275,E
61612589346d8995f94f2dc9,text,46.677,I
61612589346d8995f94f2dc9,text,17.14675,I
61612589346d8995f94f2dc9,text,8.35975,I
61612589346d8995f94f2dc9,text,8.32575,I
61612589346d8995f94f2dc9,text,4.051,I
61612589346d8995f94f2dc9,text,10.20025,I
61612589346d8995f94f2dc9,text,5.41675,I
61612589346d8995f94f2dc9,text,6.22875,I
61612589346d8995f94f2dc9,text,52.28775,I
61612589346d8995f94f2dc9,text,36.926,I
61612589346d8995f94f2dc9,text,19.977,I
61612589346d8995f94f2dc9,text,5.128,I
61612589346d8995f94f2dc9,text,2.48675,I
61612589346d8995f94f2dc9,text,2.145,I
61612589346d8995f94f2dc9,text,30.537,I
61612589346d8995f94f2dc9,text,5.17875,I
61612589346d8995f94f2dc9,text,9.456,I
61612589346d8995f94f2dc9,text,4.74775,I
61612589346d8995f94f2dc9,text,9.323,I
61612589346d8995f94f2dc9,text,5.061,I
61612589346d8995f94f2dc9,text,7.36925,I
61141c855eb58d6a4e3d8d5b,text,44.9675,I
61141c855eb58d6a4e3d8d5b,text,236.68025,I
61141c855eb58d6a4e3d8d5b,text,13.041,I
61141c855eb58d6a4e3d8d5b,text,25.9695,I
61141c855eb58d6a4e3d8d5b,text,9.5315,I
61141c855eb58d6a4e3d8d5b,text,7.5575,I
61141c855eb58d6a4e3d8d5b,text,5.96125,I
61141c855eb58d6a4e3d8d5b,text,28.24275,I
61141c855eb58d6a4e3d8d5b,text,10.68825,I
61141c855eb58d6a4e3d8d5b,text,10.7825,I
61141c855eb58d6a4e3d8d5b,text,10.4515,I
61141c855eb58d6a4e3d8d5b,text,10.246,I
61141c855eb58d6a4e3d8d5b,text,5.24425,I
61141c855eb58d6a4e3d8d5b,text,30.9165,I
61141c855eb58d6a4e3d8d5b,text,51.36975,I
61141c855eb58d6a4e3d8d5b,text,50.50725,I
61141c855eb58d6a4e3d8d5b,text,10.16875,I
61141c855eb58d6a4e3d8d5b,text,17.94325,I
61141c855eb58d6a4e3d8d5b,text,10.88375,I
60eee9b2a83c9d1e14de4788,text,41.45575,E
60eee9b2a83c9d1e14de4788,text,34.9945,E
60eee9b2a83c9d1e14de4788,text,14.57575,E
60eee9b2a83c9d1e14de4788,text,46.64025,E
60eee9b2a83c9d1e14de4788,text,21.09675,E
60eee9b2a83c9d1e14de4788,text,17.8915,E
60eee9b2a83c9d1e14de4788,text,15.03225,E
60eee9b2a83c9d1e14de4788,text,28.19325,E
60eee9b2a83c9d1e14de4788,text,7.456,E
60eee9b2a83c9d1e14de4788,text,7.32225,E
60eee9b2a83c9d1e14de4788,text,22.232,E
60eee9b2a83c9d1e14de4788,text,8.7215,E
60eee9b2a83c9d1e14de4788,text,8.99975,E
60eee9b2a83c9d1e14de4788,text,27.23625,E
60eee9b2a83c9d1e14de4788,text,13.7665,E
60eee9b2a83c9d1e14de4788,text,10.86125,E
60eee9b2a83c9d1e14de4788,text,17.41775,E
60eee9b2a83c9d1e14de4788,text,21.2595,E
60eee9b2a83c9d1e14de4788,text,8.97125,E
60eee9b2a83c9d1e14de4788,text,55.10725,E
6020206b9b158a5df011ff1f,text,94.735,I
6020206b9b158a5df011ff1f,text,88.70825,I
6020206b9b158a5df011ff1f,text,54.92375,I
6020206b9b158a5df011ff1f,text,75.98025,I
6020206b9b158a5df011ff1f,text,31.51775,I
6020206b9b158a5df011ff1f,text,25.69,I
6020206b9b158a5df011ff1f,text,28.59325,I
6020206b9b158a5df011ff1f,text,17.5685,I
6020206b9b158a5df011ff1f,text,12.12325,I
6020206b9b158a5df011ff1f,text,5.35125,I
6020206b9b158a5df011ff1f,text,7.35275,I
6020206b9b158a5df011ff1f,text,8.21625,I
6020206b9b158a5df011ff1f,text,6.12025,I
6020206b9b158a5df011ff1f,text,4.223,I
6020206b9b158a5df011ff1f,text,3.7965,I
6020206b9b158a5df011ff1f,text,10.7985,I
6020206b9b158a5df011ff1f,text,22.716,I
6020206b9b158a5df011ff1f,text,23.53125,I
6020206b9b158a5df011ff1f,text,12.91825,I
6020206b9b158a5df011ff1f,text,10.0645,I
6020206b9b158a5df011ff1f,text,15.52975,I
6020206b9b158a5df011ff1f,text,26.93675,I
615b26a3c79a404be3c4c35e,text,11.851,N
615b26a3c79a404be3c4c35e,text,10.479,N
615b26a3c79a404be3c4c35e,text,9.44175,N
615b26a3c79a404be3c4c35e,text,4.144,N
615b26a3c79a404be3c4c35e,text,10.8245,N
615b26a3c79a404be3c4c35e,text,4.89825,N
615b26a3c79a404be3c4c35e,text,8.41,N
615b26a3c79a404be3c4c35e,text,3.646,N
615b26a3c79a404be3c4c35e,text,3.8255,N
615b26a3c79a404be3c4c35e,text,10.433,N
615b26a3c79a404be3c4c35e,text,6.0915,N
615b26a3c79a404be3c4c35e,text,4.87075,N
615b26a3c79a404be3c4c35e,text,20.562,N
615b26a3c79a404be3c4c35e,text,3.627,N
615b26a3c79a404be3c4c35e,text,5.0535,N
615b26a3c79a404be3c4c35e,text,3.0195,N
615b26a3c79a404be3c4c35e,text,8.85325,N
615b26a3c79a404be3c4c35e,text,6.3535,N
60f958dea810a7a0cf3d14d9,text,46.36225,E
60f958dea810a7a0cf3d14d9,text,21.0185,E
60f958dea810a7a0cf3d14d9,text,18.5905,E
60f958dea810a7a0cf3d14d9,text,16.441,E
60f958dea810a7a0cf3d14d9,text,12.14,E
60f958dea810a7a0cf3d14d9,text,7.2915,E
60f958dea810a7a0cf3d14d9,text,29.41825,E
60f958dea810a7a0cf3d14d9,text,10.69625,E
60f958dea810a7a0cf3d14d9,text,11.292,E
60f958dea810a7a0cf3d14d9,text,6.492,E
60f958dea810a7a0cf3d14d9,text,8.843,E
60f958dea810a7a0cf3d14d9,text,11.49325,E
60f958dea810a7a0cf3d14d9,text,21.97775,E
60f958dea810a7a0cf3d14d9,text,18.99275,E
60f958dea810a7a0cf3d14d9,text,11.38075,E
60f958dea810a7a0cf3d14d9,text,171.7895,E
60f958dea810a7a0cf3d14d9,text,5.56825,E
60f958dea810a7a0cf3d14d9,text,8.393,E
6136aee758e3f41323d8c0c7,text,64.93525,I
6136aee758e3f41323d8c0c7,text,29.33275,I
6136aee758e3f41323d8c0c7,text,37.402,I
6136aee758e3f41323d8c0c7,text,29.5525,I
6136aee758e3f41323d8c0c7,text,17.841,I
6136aee758e3f41323d8c0c7,text,34.03475,I
6136aee758e3f41323d8c0c7,text,13.31025,I
6136aee758e3f41323d8c0c7,text,12.38625,I
6136aee758e3f41323d8c0c7,text,7.4185,I
6136aee758e3f41323d8c0c7,text,183.05125,I
6136aee758e3f41323d8c0c7,text,31.22225,I
6136aee758e3f41323d8c0c7,text,47.8515,I
6136aee758e3f41323d8c0c7,text,37.8475,I
6136aee758e3f41323d8c0c7,text,10.829,I
6136aee758e3f41323d8c0c7,text,24.0795,I
6136aee758e3f41323d8c0c7,text,6.12225,I
6136aee758e3f41323d8c0c7,text,10.748,I
6136aee758e3f41323d8c0c7,text,35.20525,I
6136aee758e3f41323d8c0c7,text,3.4555,I
6136aee758e3f41323d8c0c7,text,1.85425,I
6136aee758e3f41323d8c0c7,text,0.9045,I
6136aee758e3f41323d8c0c7,text,0.83225,I
6136aee758e3f41323d8c0c7,text,11.5245,I
6074de03363deb52b54eccf4,text,80.60725,N
6074de03363deb52b54eccf4,text,64.4645,N
6074de03363deb52b54eccf4,text,25.50675,N
6074de03363deb52b54eccf4,text,37.096,N
6074de03363deb52b54eccf4,text,20.81125,N
6074de03363deb52b54eccf4,text,17.55325,N
6074de03363deb52b54eccf4,text,84.82175,N
6074de03363deb52b54eccf4,text,17.9615,N
6074de03363deb52b54eccf4,text,23.9035,N
6074de03363deb52b54eccf4,text,11.95825,N
6074de03363deb52b54eccf4,text,9.04675,N
6074de03363deb52b54eccf4,text,11.3835,N
6074de03363deb52b54eccf4,text,37.12025,N
6074de03363deb52b54eccf4,text,19.90325,N
6074de03363deb52b54eccf4,text,15.363,N
6074de03363deb52b54eccf4,text,18.985,N
6074de03363deb52b54eccf4,text,13.136,N
6074de03363deb52b54eccf4,text,11.60925,N
5dcd5aa07e5deb02d76958d2,text,33.22725,N
5dcd5aa07e5deb02d76958d2,text,18.48525,N
5dcd5aa07e5deb02d76958d2,text,15.139,N
5dcd5aa07e5deb02d76958d2,text,13.343,N
5dcd5aa07e5deb02d76958d2,text,23.6415,N
5dcd5aa07e5deb02d76958d2,text,18.83475,N
5dcd5aa07e5deb02d76958d2,text,58.51725,N
5dcd5aa07e5deb02d76958d2,text,15.35125,N
5dcd5aa07e5deb02d76958d2,text,17.927,N
5dcd5aa07e5deb02d76958d2,text,22.6405,N
5dcd5aa07e5deb02d76958d2,text,4.63325,N
5dcd5aa07e5deb02d76958d2,text,8.84575,N
5dcd5aa07e5deb02d76958d2,text,7.0985,N
5dcd5aa07e5deb02d76958d2,text,15.226,N
5dcd5aa07e5deb02d76958d2,text,7.8045,N
5dcd5aa07e5deb02d76958d2,text,64.1135,N
5dcd5aa07e5deb02d76958d2,text,21.067,N
5dcd5aa07e5deb02d76958d2,text,38.92575,N
5dcd5aa07e5deb02d76958d2,text,17.048,N
5dcd5aa07e5deb02d76958d2,text,15.764,N
5dcd5aa07e5deb02d76958d2,text,31.682,N
5dcd5aa07e5deb02d76958d2,text,8.68975,N
595bd5c85ae9a80001ce3426,text,32.8765,I
595bd5c85ae9a80001ce3426,text,9.45325,I
595bd5c85ae9a80001ce3426,text,9.85225,I
595bd5c85ae9a80001ce3426,text,8.8545,I
595bd5c85ae9a80001ce3426,text,3.2625,I
595bd5c85ae9a80001ce3426,text,20.276,I
595bd5c85ae9a80001ce3426,text,21.05525,I
595bd5c85ae9a80001ce3426,text,5.535,I
595bd5c85ae9a80001ce3426,text,2.36675,I
595bd5c85ae9a80001ce3426,text,1.824,I
595bd5c85ae9a80001ce3426,text,2.57325,I
595bd5c85ae9a80001ce3426,text,2.33575,I
595bd5c85ae9a80001ce3426,text,3.674,I
595bd5c85ae9a80001ce3426,text,2.1535,I
595bd5c85ae9a80001ce3426,text,2.96975,I
595bd5c85ae9a80001ce3426,text,2.14075,I
595bd5c85ae9a80001ce3426,text,2.73125,I
595bd5c85ae9a80001ce3426,text,2.66025,I
5f64f12fc0570701c3bfbe7a,image,17.802,I
5f64f12fc0570701c3bfbe7a,image,7.91875,I
5f64f12fc0570701c3bfbe7a,image,7.4035,I
5f64f12fc0570701c3bfbe7a,image,71.83425,I
5f64f12fc0570701c3bfbe7a,image,18.1065,I
5f64f12fc0570701c3bfbe7a,image,9.8015,I
5f64f12fc0570701c3bfbe7a,image,16.67325,I
5f64f12fc0570701c3bfbe7a,image,4.39725,I
5f64f12fc0570701c3bfbe7a,image,5.42725,I
5f64f12fc0570701c3bfbe7a,image,12.5815,I
5f64f12fc0570701c3bfbe7a,image,6.331,I
5f64f12fc0570701c3bfbe7a,image,7.9225,I
5f64f12fc0570701c3bfbe7a,image,4.66725,I
5f64f12fc0570701c3bfbe7a,image,4.99925,I
5f64f12fc0570701c3bfbe7a,image,6.36325,I
5f64f12fc0570701c3bfbe7a,image,3.67575,I
5f64f12fc0570701c3bfbe7a,image,9.39325,I
5f64f12fc0570701c3bfbe7a,image,119.96675,I
5f64f12fc0570701c3bfbe7a,image,8.299,I
5f64f12fc0570701c3bfbe7a,image,6.86325,I
5f64f12fc0570701c3bfbe7a,image,7.2105,I
5f64f12fc0570701c3bfbe7a,image,5.01925,I
5f64f12fc0570701c3bfbe7a,image,5.7135,I
5f64f12fc0570701c3bfbe7a,image,11.5595,I
5f64f12fc0570701c3bfbe7a,image,5.20625,I
5f64f12fc0570701c3bfbe7a,image,5.09375,I
5f64f12fc0570701c3bfbe7a,image,6.64675,I
5f64f12fc0570701c3bfbe7a,image,7.09875,I
5f64f12fc0570701c3bfbe7a,image,5.83975,I
5f64f12fc0570701c3bfbe7a,image,6.8485,I
5f64f12fc0570701c3bfbe7a,image,5.048,I
5f64f12fc0570701c3bfbe7a,image,6.607,I
5f64f12fc0570701c3bfbe7a,image,7.191,I
602e757b94c5aea0de8a57ca,image,20.356,N
602e757b94c5aea0de8a57ca,image,16.3025,N
602e757b94c5aea0de8a57ca,image,52.00125,N
602e757b94c5aea0de8a57ca,image,9.14475,N
602e757b94c5aea0de8a57ca,image,11.699,N
602e757b94c5aea0de8a57ca,image,44.4535,N
602e757b94c5aea0de8a57ca,image,22.3305,N
602e757b94c5aea0de8a57ca,image,11.86725,N
602e757b94c5aea0de8a57ca,image,17.45125,N
602e757b94c5aea0de8a57ca,image,4.233,N
602e757b94c5aea0de8a57ca,image,2.7255,N
602e757b94c5aea0de8a57ca,image,4.4205,N
602e757b94c5aea0de8a57ca,image,5.21725,N
602e757b94c5aea0de8a57ca,image,3.5125,N
602e757b94c5aea0de8a57ca,image,2.9545,N
602e757b94c5aea0de8a57ca,image,3.66525,N
602e757b94c5aea0de8a57ca,image,3.77225,N
602e757b94c5aea0de8a57ca,image,3.53375,N
60d96d582f946a04161d162d,image,14.02075,I
60d96d582f946a04161d162d,image,10.78175,I
60d96d582f946a04161d162d,image,8.22675,I
60d96d582f946a04161d162d,image,4.933,I
60d96d582f946a04161d162d,image,9.58525,I
60d96d582f946a04161d162d,image,14.6755,I
60d96d582f946a04161d162d,image,9.31875,I
60d96d582f946a04161d162d,image,11.57075,I
60d96d582f946a04161d162d,image,3.4855,I
60d96d582f946a04161d162d,image,8.735,I
60d96d582f946a04161d162d,image,4.93375,I
60d96d582f946a04161d162d,image,7.18075,I
60d96d582f946a04161d162d,image,5.833,I
60d96d582f946a04161d162d,image,3.6665,I
60d96d582f946a04161d162d,image,5.32275,I
60d96d582f946a04161d162d,image,3.68875,I
60d96d582f946a04161d162d,image,3.914,I
60d96d582f946a04161d162d,image,5.09425,I
60d96d582f946a04161d162d,image,6.25225,I
60d96d582f946a04161d162d,image,7.08,I
60d96d582f946a04161d162d,image,7.62225,I
60a57ec89138a40a4a5acc63,image,6.24175,E
60a57ec89138a40a4a5acc63,image,12.271,E
60a57ec89138a40a4a5acc63,image,2.2725,E
60a57ec89138a40a4a5acc63,image,2.5365,E
60a57ec89138a40a4a5acc63,image,3.254,E
60a57ec89138a40a4a5acc63,image,3.876,E
60a57ec89138a40a4a5acc63,image,2.80925,E
60a57ec89138a40a4a5acc63,image,2.608,E
60a57ec89138a40a4a5acc63,image,2.69825,E
60a57ec89138a40a4a5acc63,image,8.827,E
60a57ec89138a40a4a5acc63,image,5.3805,E
60a57ec89138a40a4a5acc63,image,3.91525,E
60a57ec89138a40a4a5acc63,image,1.797,E
60a57ec89138a40a4a5acc63,image,2.53225,E
60a57ec89138a40a4a5acc63,image,12.1485,E
60a57ec89138a40a4a5acc63,image,3.09825,E
60a57ec89138a40a4a5acc63,image,2.203,E
60a57ec89138a40a4a5acc63,image,1.95525,E
60a57ec89138a40a4a5acc63,image,1.75025,E
60a57ec89138a40a4a5acc63,image,2.48125,E
60a57ec89138a40a4a5acc63,image,3.083,E
60a57ec89138a40a4a5acc63,image,2.175,E
60a57ec89138a40a4a5acc63,image,2.014,E
60a57ec89138a40a4a5acc63,image,2.176,E
60a57ec89138a40a4a5acc63,image,4.64725,E
60a57ec89138a40a4a5acc63,image,4.43625,E
60a57ec89138a40a4a5acc63,image,2.05275,E
60a57ec89138a40a4a5acc63,image,3.27275,E
60a57ec89138a40a4a5acc63,image,2.57475,E
60a57ec89138a40a4a5acc63,image,2.2385,E
60a57ec89138a40a4a5acc63,image,1.845,E
60a57ec89138a40a4a5acc63,image,2.03225,E
60a57ec89138a40a4a5acc63,image,1.78525,E
60a57ec89138a40a4a5acc63,image,2.11875,E
60a57ec89138a40a4a5acc63,image,3.3205,E
60a57ec89138a40a4a5acc63,image,3.087,E
60a57ec89138a40a4a5acc63,image,4.42375,E
60a57ec89138a40a4a5acc63,image,3.2605,E
60a57ec89138a40a4a5acc63,image,2.27775,E
60a57ec89138a40a4a5acc63,image,2.3275,E
60a57ec89138a40a4a5acc63,image,2.79375,E
60a57ec89138a40a4a5acc63,image,1.56125,E
60a57ec89138a40a4a5acc63,image,2.601,E
60a57ec89138a40a4a5acc63,image,2.317,E
60a57ec89138a40a4a5acc63,image,2.43725,E
60a57ec89138a40a4a5acc63,image,1.78325,E
60a57ec89138a40a4a5acc63,image,1.24925,E
60a57ec89138a40a4a5acc63,image,1.5295,E
60a57ec89138a40a4a5acc63,image,1.79125,E
60a57ec89138a40a4a5acc63,image,1.9425,E
60a57ec89138a40a4a5acc63,image,2.21225,E
