userID,sessionID,taskID,domain,expertiseLevel,iteration
595bd5c85ae9a80001ce3426,6313ab7a0333cd28f89be402,1,text,I,6
595bd5c85ae9a80001ce3426,6313ab7a0333cd28f89be402,2,text,I,6
595bd5c85ae9a80001ce3426,6313ab7a0333cd28f89be402,3,text,I,6
59cbec4f0aaf750001213f9c,633ad0d2d7f3550367395923,1,image,E,8
59cbec4f0aaf750001213f9c,633ad0d2d7f3550367395923,2,image,E,6
59cbec4f0aaf750001213f9c,633ad0d2d7f3550367395923,3,image,E,10
5a0faf7a120fb3000194961d,633adb2bfc32ea34f75d710e,1,image,I,8
5a0faf7a120fb3000194961d,633adb2bfc32ea34f75d710e,2,image,I,20
5a0faf7a120fb3000194961d,633adb2bfc32ea34f75d710e,3,image,I,6
5aad8904e1546900019aef8e,63185ca9025e4b3c816d4a93,1,text,N,6
5aad8904e1546900019aef8e,63185ca9025e4b3c816d4a93,2,text,N,6
5aad8904e1546900019aef8e,63185ca9025e4b3c816d4a93,3,text,N,7
5c6d938c79151c00017c7560,633adb146e7a9e013d20e73d,1,image,E,12
5c6d938c79151c00017c7560,633adb146e7a9e013d20e73d,2,image,E,6
5c6d938c79151c00017c7560,633adb146e7a9e013d20e73d,3,image,E,13
5c73a8b843afac0001428e6a,633adb02aad174b663411500,1,image,E,20
5c73a8b843afac0001428e6a,633adb02aad174b663411500,2,image,E,20
5c73a8b843afac0001428e6a,633adb02aad174b663411500,3,image,E,20
5d8c9182bc22d700191aef2b,63184729315736c1edef8502,1,text,E,7
5d8c9182bc22d700191aef2b,63184729315736c1edef8502,2,text,E,6
5d8c9182bc22d700191aef2b,63184729315736c1edef8502,3,text,E,7
5dcd5aa07e5deb02d76958d2,6313a9ecf3446e987974524c,1,text,N,6
5dcd5aa07e5deb02d76958d2,6313a9ecf3446e987974524c,2,text,N,9
5dcd5aa07e5deb02d76958d2,6313a9ecf3446e987974524c,3,text,N,7
5e767f6c99df851e0e93c629,633dd075156f328b6ee268d8,1,mesh,E,6
5e767f6c99df851e0e93c629,633dd075156f328b6ee268d8,2,mesh,E,7
5e767f6c99df851e0e93c629,633dd075156f328b6ee268d8,3,mesh,E,7
5eb17f5f5b4ec12749a65a24,633dcdb71fd1cb370a5effcf,1,mesh,N,6
5eb17f5f5b4ec12749a65a24,633dcdb71fd1cb370a5effcf,2,mesh,N,7
5eb17f5f5b4ec12749a65a24,633dcdb71fd1cb370a5effcf,3,mesh,N,7
5eceef5fa487421604c337ba,63184fb9181c4e0cb45d0564,1,text,E,7
5eceef5fa487421604c337ba,63184fb9181c4e0cb45d0564,2,text,E,6
5eceef5fa487421604c337ba,63184fb9181c4e0cb45d0564,3,text,E,7
5ee623674afa60375e30eec3,633dd84f08f359931265ac65,1,mesh,E,20
5ee623674afa60375e30eec3,633dd84f08f359931265ac65,2,mesh,E,20
5ee623674afa60375e30eec3,633dd84f08f359931265ac65,3,mesh,E,20
5ef0a7a320e4520009b3af18,633ad0d13d36ec96b479de67,1,image,I,7
5ef0a7a320e4520009b3af18,633ad0d13d36ec96b479de67,2,image,I,6
5ef0a7a320e4520009b3af18,633ad0d13d36ec96b479de67,3,image,I,6
5f0b339a2906a406fed096f0,633dd85149bbd0c385e2ed58,1,mesh,I,6
5f0b339a2906a406fed096f0,633dd85149bbd0c385e2ed58,2,mesh,I,7
5f0b339a2906a406fed096f0,633dd85149bbd0c385e2ed58,3,mesh,I,7
5f64f12fc0570701c3bfbe7a,633ab44538b61510eb4abb6a,1,image,I,7
5f64f12fc0570701c3bfbe7a,633ab44538b61510eb4abb6a,2,image,I,6
5f64f12fc0570701c3bfbe7a,633ab44538b61510eb4abb6a,3,image,I,20
5f6dff31d44be62b675aa6f7,633df3dd472256a894d6d80c,1,mesh,I,8
5f6dff31d44be62b675aa6f7,633df3dd472256a894d6d80c,2,mesh,I,6
5f6dff31d44be62b675aa6f7,633df3dd472256a894d6d80c,3,mesh,I,6
5f82e997eec0860404c8f790,633ad0c6e6ee431541d5d768,1,image,N,6
5f82e997eec0860404c8f790,633ad0c6e6ee431541d5d768,2,image,N,6
5f82e997eec0860404c8f790,633ad0c6e6ee431541d5d768,3,image,N,8
5f9aba6600cdf11f1c9b915c,633df148a4e18a435ce530bd,1,mesh,E,6
